MATERIAL_NAME,FORECAST_DATE,FORECAST_QUANTITY_MT
MAT-0013,2025-01-01,353.68
MAT-0013,2025-02-01,219.0
MAT-0013,2025-03-01,250.73
MAT-0013,2025-04-01,306.06
MAT-0013,2025-05-01,279.14
MAT-0013,2025-06-01,309.5
MAT-0268,2025-01-01,645.03
MAT-0268,2025-02-01,485.06
MAT-0268,2025-03-01,328.67
MAT-0268,2025-04-01,526.67
MAT-0268,2025-05-01,456.34
MAT-0268,2025-06-01,481.5
MAT-0145,2025-01-01,2364.24
MAT-0145,2025-02-01,1173.06
MAT-0145,2025-03-01,2455.04
MAT-0145,2025-04-01,1705.8
MAT-0145,2025-05-01,1814.37
MAT-0145,2025-06-01,1190.57
MAT-0428,2025-01-01,1238.2
MAT-0428,2025-02-01,1335.83
MAT-0428,2025-03-01,820.43
MAT-0428,2025-04-01,399.45
MAT-0428,2025-05-01,420.07
MAT-0428,2025-06-01,444.82
MAT-0264,2025-01-01,959.8
MAT-0264,2025-02-01,811.28
MAT-0264,2025-03-01,662.75
MAT-0264,2025-04-01,1058.76
MAT-0264,2025-05-01,935.09
MAT-0264,2025-06-01,663.66
MAT-0415,2025-01-01,1157.06
MAT-0415,2025-02-01,466.74
MAT-0415,2025-03-01,641.36
MAT-0415,2025-04-01,464.54
MAT-0415,2025-05-01,715.63
MAT-0415,2025-06-01,523.12
MAT-0229,2025-01-01,311.21
MAT-0229,2025-02-01,84.82
MAT-0229,2025-03-01,-12.88
MAT-0229,2025-04-01,57.58
MAT-0229,2025-05-01,412.47
MAT-0229,2025-06-01,549.88
MAT-0325,2025-01-01,521.67
MAT-0325,2025-02-01,415.89
MAT-0325,2025-03-01,614.06
MAT-0325,2025-04-01,479.05
MAT-0325,2025-05-01,667.19
MAT-0325,2025-06-01,968.36
MAT-0340,2025-01-01,1205.91
MAT-0340,2025-02-01,699.39
MAT-0340,2025-03-01,1519.34
MAT-0340,2025-04-01,1044.3
MAT-0340,2025-05-01,841.31
MAT-0340,2025-06-01,897.62
MAT-0084,2025-01-01,804.71
MAT-0084,2025-02-01,328.97
MAT-0084,2025-03-01,1282.03
MAT-0084,2025-04-01,1538.86
MAT-0084,2025-05-01,537.79
MAT-0084,2025-06-01,1035.44
MAT-0318,2025-01-01,496.59
MAT-0318,2025-02-01,323.02
MAT-0318,2025-03-01,348.27
MAT-0318,2025-04-01,620.02
MAT-0318,2025-05-01,350.62
MAT-0318,2025-06-01,369.78
MAT-0319,2025-01-01,1201.81
MAT-0319,2025-02-01,412.46
MAT-0319,2025-03-01,1515.25
MAT-0319,2025-04-01,805.71
MAT-0319,2025-05-01,862.15
MAT-0319,2025-06-01,1216.74
MAT-0015,2025-01-01,937.59
MAT-0015,2025-02-01,1553.4
MAT-0015,2025-03-01,1195.48
MAT-0015,2025-04-01,2730.78
MAT-0015,2025-05-01,1830.39
MAT-0015,2025-06-01,1004.92
MAT-0112,2025-01-01,521.83
MAT-0112,2025-02-01,292.59
MAT-0112,2025-03-01,779.86
MAT-0112,2025-04-01,1150.82
MAT-0112,2025-05-01,776.73
MAT-0112,2025-06-01,1285.51
MAT-0316,2025-01-01,119.91
MAT-0316,2025-02-01,646.45
MAT-0316,2025-03-01,701.8
MAT-0316,2025-04-01,652.02
MAT-0316,2025-05-01,301.35
MAT-0316,2025-06-01,485.79
MAT-0266,2025-01-01,104.07
MAT-0266,2025-02-01,69.19
MAT-0266,2025-03-01,145.14
MAT-0266,2025-04-01,143.44
MAT-0266,2025-05-01,91.22
MAT-0266,2025-06-01,94.34
MAT-0314,2025-01-01,570.43
MAT-0314,2025-02-01,271.49
MAT-0314,2025-03-01,462.9
MAT-0314,2025-04-01,385.61
MAT-0314,2025-05-01,286.83
MAT-0314,2025-06-01,280.27
MAT-0142,2025-01-01,506.8
MAT-0142,2025-02-01,312.0
MAT-0142,2025-03-01,318.21
MAT-0142,2025-04-01,558.65
MAT-0142,2025-05-01,285.02
MAT-0142,2025-06-01,460.75
MAT-0007,2025-01-01,211.23
MAT-0007,2025-02-01,119.09
MAT-0007,2025-03-01,150.77
MAT-0007,2025-04-01,225.01
MAT-0007,2025-05-01,131.48
MAT-0007,2025-06-01,386.81
MAT-0055,2025-01-01,199.98
MAT-0055,2025-02-01,131.26
MAT-0055,2025-03-01,219.63
MAT-0055,2025-04-01,215.78
MAT-0055,2025-05-01,275.57
MAT-0055,2025-06-01,260.28
MAT-0339,2025-01-01,35.89
MAT-0339,2025-02-01,83.23
MAT-0339,2025-03-01,40.22
MAT-0339,2025-04-01,57.73
MAT-0339,2025-05-01,42.97
MAT-0339,2025-06-01,53.41
MAT-0143,2025-01-01,265.64
MAT-0143,2025-02-01,36.5
MAT-0143,2025-03-01,4.98
MAT-0143,2025-04-01,111.49
MAT-0143,2025-05-01,102.67
MAT-0143,2025-06-01,165.74
MAT-0389,2025-01-01,825.01
MAT-0389,2025-02-01,552.64
MAT-0389,2025-03-01,584.01
MAT-0389,2025-04-01,570.77
MAT-0389,2025-05-01,721.49
MAT-0389,2025-06-01,760.16
MAT-0206,2025-01-01,339.79
MAT-0206,2025-02-01,182.92
MAT-0206,2025-03-01,232.47
MAT-0206,2025-04-01,235.02
MAT-0206,2025-05-01,179.07
MAT-0206,2025-06-01,166.39
MAT-0056,2025-01-01,679.18
MAT-0056,2025-02-01,708.86
MAT-0056,2025-03-01,858.09
MAT-0056,2025-04-01,658.51
MAT-0056,2025-05-01,868.36
MAT-0056,2025-06-01,1032.7
MAT-0390,2025-01-01,68.2
MAT-0390,2025-02-01,143.71
MAT-0390,2025-03-01,213.32
MAT-0390,2025-04-01,191.21
MAT-0390,2025-05-01,197.64
MAT-0390,2025-06-01,119.51
MAT-0382,2025-01-01,662.82
MAT-0382,2025-02-01,-0.03
MAT-0382,2025-03-01,-71.44
MAT-0382,2025-04-01,206.23
MAT-0382,2025-05-01,470.23
MAT-0382,2025-06-01,530.74
MAT-0328,2025-01-01,393.46
MAT-0328,2025-02-01,51.65
MAT-0328,2025-03-01,373.98
MAT-0328,2025-04-01,195.45
MAT-0328,2025-05-01,199.96
MAT-0328,2025-06-01,99.98
MAT-0144,2025-01-01,1461.78
